Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Albania,3.13415729,3.332269428,4.357962185,4.988044082,5.188297585,6.390678733,6.652607827,7.063849078,7.080224,6.025278041,6.653416806,7.201812666,7.062183875,7.70573077,7.579924617,8.150986164,9.278606628,10.70187528,11.57702922,12.04602379,13.21419783,13.34396366,15.30207957,13.19184378,13.92688063
Algeria,8.030757911,7.754721018,7.887895157,7.877125783,8.27160466,8.401557812,9.198091884,9.231406399,9.480340905,9.297539059,9.713190264,10.20325152,10.2322712,10.51297082,11.12203443,11.66289161,11.41191874,11.41844604,11.78086965,11.02792909,11.7531847,11.83560626,10.82707316,10.46866174,9.79389589
Angola,6.579710416,6.708993118,6.425438496,4.827943601,4.929688696,5.79264067,6.50880315,6.951290417,7.37790915,7.281026082,7.468082992,7.617703118,8.407400151,8.17315381,9.051309406,11.10934146,11.6364587,12.77170381,13.3717271,12.50458889,12.64580213,12.86124724,13.4423024,14.41269008,15.01827837
Argentina,5.095449811,5.576838118,5.854309443,6.466015311,6.570432846,6.424766825,6.658276041,7.095277693,7.204973853,6.942642338,6.959335096,7.146793308,6.655895373,6.895957996,7.067840012,7.885729095,8.068749053,8.916315408,8.982089313,8.756990129,9.365054463,9.898423043,10.16888768,10.23663146,9.671815343
Armenia,1.274468749,1.103726734,1.292335024,2.273034864,3.891754866,3.560360044,3.544192451,3.56340993,3.796329209,4.114545471,4.05417533,4.55908096,5.603279699,6.164276506,6.613849378,6.474842685,7.414602492,7.767316768,8.038659598,8.003808173,8.697662862,8.501175536,9.45211754,10.94146441,9.879703949
Australia,3.424341579,3.608998565,3.665275931,3.714178606,3.939530763,4.070530921,4.071025006,4.191333015,4.352572275,4.503175056,4.663025043,5.02233644,5.156210448,5.339088634,5.59116765,5.854521732,6.006035101,6.227728624,6.280202288,6.874473462,6.78419049,7.304379881,7.681539778,8.394067808,8.787819683
Austria,5.998795169,6.02579651,6.548439998,6.662643866,6.987307749,7.011392405,6.847420877,7.159226949,7.396009001,7.685954194,8.230510561,7.906305044,8.262207426,8.080567129,8.419865177,8.570097728,9.222474113,9.799428137,10.24670245,10.78353624,10.37656294,11.3344876,11.95269411,12.22799336,12.96717074
Azerbaijan,1.693280418,1.754535673,1.714048221,1.505744766,1.36071884,1.304043755,1.591620514,1.777991281,1.905254408,2.23204934,2.453007215,2.719130774,2.992828512,3.194099098,3.407823937,4.281863374,6.019041723,8.471063009,8.683036141,10.68004005,11.66551317,10.81138033,10.3436917,11.00884646,11.61316179
Bahamas,8.535421268,8.9504,9.3654,9.7804,10.1953,10.6103,11.0253,11.4403,11.8552,12.2702,12.6852,13.1002,13.5152,13.9301,14.34511147,14.59101156,15.19262754,15.75944911,15.75944911,15.75944911,15.75944911,15.75944911,15.75944911,15.75944911,15.75944911
Bangladesh,6.88880084,7.47695815,7.639504039,7.755990072,7.879538803,7.772842835,8.224442742,8.368270727,8.537919874,8.946982895,9.308023537,9.137310612,9.412765977,9.529986402,10.11216375,10.69809096,10.9733756,11.54678466,11.88966929,11.96211706,11.79655587,12.3590256,13.35462048,14.15663466,14.68974506
Belarus,1.17169964,1.228360277,1.361080802,1.511680404,1.605450634,1.587543985,1.618323162,1.838566048,2.057429898,2.216257686,2.358809026,2.513799117,2.631199673,2.786711267,3.083991035,3.482503172,3.707711753,4.221332742,4.735763181,5.035909922,5.292760116,5.340502753,5.509405684,6.632784258,6.472861073
Belgium,3.878235133,3.908363249,4.014386341,4.16856039,4.141579963,4.253372923,4.10080633,4.295182643,4.349053697,4.532715924,4.902667462,5.111694432,5.61748526,5.527535213,5.727530755,5.971955628,6.43756555,6.886497318,6.945122559,7.271292611,7.196845775,8.040029631,8.727863835,8.738657378,9.542815325
Belize,5.753008477,6.1909,6.6288,7.0667,7.5045,7.9424,8.3803,8.8182,9.2561,9.6939,10.1318,10.5697,11.0076,11.4455,11.88334873,12.10097969,12.20452682,12.24382061,12.24382061,12.24382061,12.24382061,12.24382061,12.24382061,12.24382061,12.24382061
Benin,3.774586032,4.006003851,4.116885589,4.35794488,4.444317801,4.70849095,4.295600059,4.453187966,4.746096694,4.86195948,6.093875907,6.168064844,6.112121269,6.106213778,6.272301695,6.555372044,5.949489163,5.955502906,6.23023413,6.122127708,5.952913762,6.089975847,6.264740195,6.581669826,6.801444795
Bhutan,14.29387169,14.2168,14.1397,14.0625,13.9854,13.9083,13.8312,13.7541,13.677,13.5999,13.5228,13.4457,13.3686,13.2914,13.21433813,12.89904229,13.74787566,14.44936397,14.44936397,14.44936397,14.44936397,14.44936397,14.44936397,14.44936397,14.44936397
Bolivia,6.244482068,6.592156658,6.470430262,6.460081875,6.273859248,5.974840884,5.905895409,5.781410708,6.074846246,6.297703585,5.899716735,7.879319345,6.842434289,6.885434252,7.356915198,7.26299077,6.265410775,8.257096029,8.401392773,8.399783499,8.122626387,8.260707954,7.91999031,8.951493165,9.068265751
Bosnia and Herz.,0.0,0.65363805625,1.3072761125,1.96091416875,2.614552225,3.097005247,5.101979054,4.51773685,4.249257631,4.774233791,3.926255491,4.248220405,4.382462785,4.595368916,4.853323194,4.840920922,5.26095585,5.808688459,5.685899954,5.430322197,5.348138969,5.111639572,5.557385321,6.047005014,5.088379642
Botswana,6.001383392,6.546068693,5.979338432,6.219643702,6.68062186,7.12820821,7.873818307,8.269458868,7.441003778,8.016242628,8.040555406,8.142083844,8.636426991,9.233521569,9.90308834,10.34606549,11.17650026,12.02405096,12.3066144,12.2769843,12.3186199,13.88166763,11.83642721,12.24024785,12.53165906
Brazil,7.121628186,7.335077405,7.390156298,7.724866423,7.894383136,8.137355879,8.041560104,8.049308264,7.976079515,7.948928012,8.449234698,8.604456929,8.775223568,8.893961445,9.150614079,9.498562366,9.831940296,10.13389051,10.28424916,10.69937237,10.52596707,11.00072346,10.64557853,10.67062915,10.50994109
