Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Albania,33.657845,28.229689,24.674017,21.63845,20.567207,22.72757,25.011456,22.843916,24.571817,22.114038,28.731913,27.233145,29.497454,33.270126,35.486534,35.013653,32.967403,28.376635,30.99076,33.772945,36.060646,31.485647,30.809958,38.665195,34.059666
Algeria,314.97372,312.0951,320.22687,297.99496,301.92108,313.1448,309.92474,297.85974,308.349,311.43417,299.94562,310.81296,321.9505,336.9221,349.7778,366.2715,379.22003,399.63977,423.55692,448.8593,438.99487,464.48825,507.67184,536.9768,585.6132
Angola,23.330988,24.454176,24.813814,24.360994,23.768608,25.495579,24.504175,27.524199,24.772617,27.6509,32.44806,35.23395,37.546337,41.6661,46.076923,39.229706,49.463192,56.854713,66.63688,75.82465,83.17874,87.199165,91.0689,101.91877,112.17697
Argentina,513.02167,521.34717,559.3094,577.8426,608.76117,628.23645,657.1285,664.7551,688.4251,696.0661,698.77704,682.52423,654.4735,701.5056,744.8173,790.5074,830.5426,865.64545,877.17804,852.5108,883.96924,909.091,943.7065,981.39813,979.85767
Armenia,0,28.8784,57.7568,43.95694,39.296124,38.54506,49.341423,41.582306,44.19059,27.311895,29.373667,28.887114,27.6709,30.428022,31.5594,36.559025,36.503197,40.961624,39.53123,35.32081,39.337505,41.41521,43.885105,43.05361,43.884068
Australia,1033.0594,1025.3058,1042.1882,1064.0782,1105.4661,1154.2988,1188.1368,1217.288,1246.3306,1297.3474,1305.2594,1315.3853,1341.745,1360.8622,1404.4441,1410.3502,1470.8378,1506.167,1531.7455,1509.5446,1508.8386,1558.6023,1536.113,1555.586,1566.4581
Austria,335.16745,351.51334,345.9709,352.125,349.96942,367.03076,367.50394,375.2681,381.28217,390.04868,391.41565,405.3672,406.00693,410.25372,417.87033,425.45874,421.00882,411.99207,420.0093,406.84494,420.15656,396.06876,414.52417,411.2033,394.79803
Azerbaijan,260.5512,250.35124,214.39381,185.98021,170.86469,160.648,131.7407,126.15464,126.645164,126.35341,132.05524,127.22747,125.608635,136.0352,153.89793,166.83739,164.09157,151.07112,152.39287,130.85686,128.94139,146.59703,151.16762,154.65224,157.28722
Bahamas,12.011942,10.654455,9.014254,9.518383,10.574259,12.637076,14.24627,13.885385,15.768512,13.869435,16.462984,16.77847,17.401783,12.155077,13.472551,12.954244,15.046233,17.3275,16.932302,12.729477,13.262927,11.710016,13.534001,12.594334,12.363687
Bangladesh,73.8564,71.25461,77.710556,85.43575,90.69007,107.10863,112.20246,117.89081,125.55917,126.98537,136.12083,155.58499,156.0232,164.91588,175.07866,189.64735,205.20923,210.16739,222.28944,243.67596,250.17714,271.34033,294.77423,306.70013,318.27
Belarus,465.97247,464.9062,403.1557,337.11218,281.81354,250.70609,257.13818,260.10107,254.35074,247.41664,255.06026,247.9601,256.52615,254.5864,285.08063,284.1503,302.1465,294.77386,298.65997,282.56253,306.24835,300.73288,325.29752,294.82254,294.94397
Belgium,621.35266,642.87976,641.5093,631.1829,663.908,672.1198,713.8814,721.2619,735.3865,730.141,743.34845,736.85876,733.4745,761.691,764.61993,756.1178,758.24115,763.469,775.73395,715.8491,764.72125,713.59216,684.92365,701.9301,650.87177
Belize,1.4332296,1.6237152,1.3610368,1.3575165,1.295288,1.6019143,1.4308053,2.2100573,2.1734524,2.2605126,2.4134686,2.6566617,2.570874,2.5221746,2.4299865,2.6019669,2.9933627,2.8243594,2.73148,2.8466904,3.379774,2.9482436,3.0629723,3.3377864,3.3195853
Benin,2.5567834,2.988314,3.3202646,3.650994,3.8199115,4.1227913,4.5005593,4.8685646,5.2483816,2.5765462,6.8648067,7.813138,8.95193,10.3935795,10.958862,10.287774,14.049367,16.58971,16.965845,18.842318,21.60962,20.14517,19.119537,19.48076,20.595615
Bhutan,3.7304773,3.7984931,3.8578622,3.872917,4.1396203,4.4206977,4.8465433,4.883538,4.7755117,4.8245263,4.9731116,5.4899645,6.072993,6.76408,6.509501,7.3761415,11.948427,14.929981,15.429693,16.001398,17.13303,16.670433,16.197203,17.94188,17.1782
Bolivia,27.038033,26.605309,28.727654,28.34253,31.657558,36.27886,35.536777,39.855587,36.969196,41.528313,43.587566,37.30106,40.686142,54.696083,56.725502,55.573303,61.17024,65.724915,67.46114,66.48772,67.463234,69.82768,82.854996,83.94523,84.83242
Bosnia and Herz.,0,21.7983875,43.596775,31.492298,33.128998,54.9307,34.168854,48.74116,57.563232,58.392185,64.67383,64.34045,64.66728,56.421043,58.27035,53.845924,55.0357,52.571774,59.438805,71.468285,76.50543,74.12617,72.10858,73.227455,70.906006
Botswana,8.951391,9.369421,11.365281,11.027908,10.977663,11.10999,10.526142,10.84877,11.630592,11.003659,14.348991,15.084142,15.828888,16.179682,15.935164,16.93714,18.093166,18.57827,19.3258,18.072195,18.618477,19.529171,19.300838,19.159739,19.243532
Brazil,1565.9917,1616.5944,1639.3057,1715.2032,1798.8566,1912.7927,2025.3486,2153.253,2229.1387,2254.6177,2356.7642,2297.8335,2350.1296,2394.621,2511.0562,2576.3958,2647.395,2817.8794,2939.233,2918.5881,3185.0366,3295.7898,3392.3206,3473.9395,3564.4182
Brunei,20.552052,16.424734,16.060816,15.26527,14.671358,18.145622,16.899364,18.072613,16.34575,19.28584,19.663834,22.35729,26.106573,27.008535,29.992193,33.786716,52.069736,54.66209,56.141193,37.24468,42.422886,43.576885,42.360893,39.39745,44.308376
Bulgaria,325.1415,263.10938,247.56409,264.0596,254.04854,273.0735,271.998,257.20776,247.34607,217.31862,217.5014,224.81998,218.06604,225.45117,217.99915,236.20004,240.77203,232.7649,230.31332,202.21457,211.54092,224.73294,213.65845,198.10829,211.55034
Cambodia,2.0417666,2.1670039,2.1797342,2.179728,2.1859164,6.207941,6.8228984,8.03615,9.392931,9.669812,8.961346,9.49313,9.473402,10.278974,10.589662,12.052029,13.046436,15.307836,16.066174,19.817097,22.856976,23.666803,26.375269,27.991207,30.90454
Cameroon,22.77588,22.983763,23.084955,20.424212,21.804012,22.328308,22.234941,23.355223,23.356882,22.890774,23.77796,23.701736,23.35339,25.016626,26.078114,25.16816,28.518993,30.067791,30.521715,32.76071,37.49299,39.49109,39.40227,34.61895,43.29559
Canada,3008.582,3020.8276,3101.7253,3180.0066,3301.1558,3381.887,3474.036,3491.2454,3441.1692,3550.909,3647.4895,3572.098,3693.3928,3711.0212,3768.0676,3793.2556,3771.9497,3915.8445,3869.2676,3717.6982,3752.4795,3893.982,3905.844,3999.0525,4007.7463
Chile,155.6806,174.9642,194.19398,205.22807,215.48125,232.23555,245.84499,281.05872,281.4758,293.1152,307.39124,313.34488,320.8014,322.48972,344.299,357.32693,369.6823,369.29858,369.30566,354.37238,363.94763,385.7118,402.74655,413.7593,409.53394
China,7938.249,8337.61,8773.708,9457.634,10048.812,10352.658,10907.449,10981.134,11000.566,11386.067,11800.283,12470.0625,13580.49,15818.756,18509.135,21027.164,23048.367,25049.293,26019,27158.898,29055.61,31336.535,32624.225,33852.562,34729.508
Colombia,252.48114,259.16888,268.5059,292.18634,316.38965,323.72476,336.59888,342.1698,346.52112,322.87454,314.18433,316.8647,316.93613,322.86337,339.53064,334.3015,385.98672,392.2712,408.47995,403.78226,424.601,443.7966,471.93307,485.0396,510.58585
Congo,5.644281,5.1631036,4.938633,4.450391,4.219926,4.3137455,4.586272,4.4738564,4.168153,3.4878945,3.847001,4.722345,4.370236,4.997155,5.300842,7.1656,8.544958,10.514693,11.968252,14.525248,19.793043,23.77725,24.388788,30.831583,29.33179
Costa Rica,21.781425,23.24926,27.45788,29.871525,30.261887,30.762812,31.053724,34.869125,35.77244,41.079,42.57457,43.341686,45.11992,46.03843,47.468872,49.338017,51.487255,54.406677,55.110283,53.60737,54.480923,54.76961,55.291924,55.670418,56.80869
Croatia,100.82002,83.78954,80.523476,84.00601,84.86329,87.84965,94.241035,93.35869,98.73133,102.114456,96.54981,101.515945,101.62211,106.3196,110.54107,109.284904,107.94981,108.45485,107.86448,106.488785,108.26423,94.44827,87.5947,96.073,96.00874
Cyprus,19.274536,19.512156,22.79668,23.690178,23.732359,25.230673,25.604818,25.85162,27.446606,28.880678,30.261103,30.609652,30.185936,32.0883,31.228363,34.992786,34.41193,34.986603,35.85529,35.003563,34.056034,33.72514,31.604967,28.278452,28.294397
Czechia,546.744,497.63907,482.9794,478.92923,466.515,486.21396,502.92194,482.31992,468.27097,448.98697,474.50372,485.27197,486.75656,514.5501,527.8245,519.63196,529.4554,523.70526,513.6187,492.81097,513.649,501.97574,499.4383,490.22104,479.93652
Denmark,201.96101,232.8537,218.13678,231.30373,248.05594,243.61967,289.88892,262.99796,253.69131,246.04887,236.51941,237.21649,236.75543,255.23254,241.65175,227.59906,251.56255,238.63371,226.62135,214.57703,227.93806,214.153,199.1922,207.78352,200.00195
Dominican Rep.,40.65883,39.30068,42.02656,39.410534,42.874413,46.278965,50.296066,53.197384,55.06584,62.541843,86.21111,83.80706,88.52087,81.2121,75.58158,83.079445,82.92249,85.242294,84.75504,83.73564,87.79959,86.39796,95.89783,91.43549,87.788315
Ecuador,80.98211,89.4387,88.9794,92.23142,100.32273,94.81821,107.91351,120.22123,120.84404,110.230705,104.128815,105.482956,104.10937,106.60742,114.05594,120.72479,127.68567,134.25255,143.2851,139.80513,155.19421,164.64429,173.93344,179.50916,188.56316
Egypt,391.32346,396.43268,392.62604,392.9128,413.2275,437.82062,461.2768,480.5004,500.30728,536.88873,568.53345,593.31384,610.2438,645.99164,682.05383,699.4166,736.6443,784.57935,831.8381,861.6713,895.11176,938.07916,975.21545,968.1441,955.8868
El Salvador,15.717758,15.534816,17.580929,18.218136,19.94467,24.836594,25.404926,25.216356,28.747938,30.364742,29.402664,30.5312,31.272413,33.36593,33.27612,34.426746,36.386955,37.939373,37.234364,35.896305,37.190758,37.24407,37.562363,36.514393,37.35043
Eq. Guinea,0.5086985,0.50871843,0.5100092,0.508644,0.5086481,0.5086148,0.5100081,0.57389146,0.7906023,0.79063284,3.2545538,1.8517739,28.258074,30.617418,6.2173076,22.617237,27.631754,30.564075,30.279116,32.082115,30.814402,33.128353,32.21646,33.239258,31.289293
Eritrea,0,0.970935175,1.94187035,2.912805525,3.8837407,4.4491568,4.5475116,4.5973806,4.8820777,5.06736,2.5992396,2.8474114,2.5962582,3.1118126,3.3888624,3.3910127,2.3323069,2.3950188,1.7113456,2.0677683,2.0614183,2.102094,2.2337594,2.2805402,2.3813727
Estonia,127.5705,116.732086,81.387985,67.58692,68.5388,62.16573,66.012535,65.02756,58.33113,53.736973,55.48696,57.842796,57.605877,62.8241,64.10208,64.46618,63.68122,73.75527,67.85399,58.717308,73.148674,72.96339,73.48276,77.46262,74.157715
Eswatini,3.4487298,3.5279212,3.4545345,3.4426267,4.4576893,4.364791,4.1733484,4.289431,5.3096805,5.4118285,6.2694864,6.323241,6.5148754,5.991857,5.8219347,6.0242815,6.1294856,6.38719,6.1733627,6.025186,5.661273,5.7878337,5.7382684,5.6512094,5.7376
Ethiopia,15.476386,13.417995,18.05062,17.270784,12.937038,13.879298,11.653441,11.742957,15.273036,18.113241,19.304592,21.01949,21.595362,23.357014,24.974146,28.678482,31.471079,34.836338,36.469288,37.707485,41.786682,47.21692,52.61914,61.418804,69.58626
Fiji,5.4282227,4.744142,4.903751,5.157806,5.3019147,5.70304,5.8414025,5.8233423,5.6529975,6.139447,7.7498546,8.055674,6.822742,7.4821954,9.909775,8.482526,9.294577,8.962431,7.075837,6.1325884,8.298196,6.4357924,6.4879756,6.8536205,7.2206216
Finland,323.24893,330.75787,329.67514,332.5108,349.05576,332.7274,347.4788,352.3808,364.24442,357.1492,359.1098,366.89365,368.7681,394.92767,393.25397,357.54764,383.51224,382.1924,368.49554,341.28772,371.2906,349.9229,340.45874,341.8005,329.82288
France,2657.8533,2825.1626,2848.8396,2849.369,2814.1702,2880.9744,2988.0015,2947.409,3014.9285,3068.208,3107.3093,3145.4202,3113.1091,3145.1638,3170.9683,3152.4006,3127.1309,3072.3518,3081.9138,2909.9734,2997.7344,2882.3123,2881.1746,2908.428,2785.743
Gabon,12.643711,12.999065,13.355303,12.6488495,12.983964,12.1651,12.683498,13.311441,12.999856,15.012177,11.477413,12.385007,12.388139,12.050283,12.280038,13.147338,13.484869,13.400484,13.676442,13.530092,15.767344,16.133896,20.215014,20.430458,21.331526
Gambia,0.7876565,0.7839339,0.78604794,0.84624445,0.9753624,0.90243626,0.904875,0.90243626,0.9630888,0.9630932,1.2656064,1.3786302,1.3727992,1.3727992,1.4486916,1.4638934,1.5906816,1.6500175,1.714073,1.8415773,2.0086887,2.1115954,2.0585399,2.0487888,2.2650769
Georgia,0,47.100998,94.201996,58.142822,44.81628,44.25626,46.533024,47.933548,48.53641,47.083607,40.19375,37.132812,43.764503,38.952213,40.229385,45.764824,41.373203,51.74565,51.765415,52.634224,56.745422,52.818905,54.69463,61.590626,64.329315
Germany,4192.6416,4090.6426,4009.3376,3991.5264,3954.172,3974.795,4105.8457,4053.187,4019.6313,3963.56,3988.179,4062.799,4011.723,4010.471,4009.893,3962.6313,4062.384,3893.4246,3934.6611,3692.1802,3847.1501,3710.5862,3761.9148,3868.5193,3710.461
Ghana,29.355019,30.497234,33.170486,32.645252,33.61881,34.18398,36.121025,35.557915,27.81647,33.797935,41.627354,41.86782,38.323772,35.093052,41.45509,42.602867,41.44528,39.11321,46.21539,53.156326,54.776882,68.86353,70.66653,74.27885,75.372475
Greece,287.31247,291.4823,296.6184,300.53082,305.64337,316.79404,324.8006,334.04376,354.7729,354.70483,373.0521,376.0252,376.37057,398.31604,398.23236,399.60614,411.30588,419.3504,411.58505,396.39783,378.43732,371.28455,349.30197,328.3033,307.91022
Guatemala,23.442286,22.790943,25.08893,26.80579,29.929008,32.02282,33.115944,35.768574,42.064976,45.325752,47.63064,49.64537,50.17874,55.09398,51.991894,53.675705,56.907677,61.005024,56.65779,59.241055,58.23573,59.401413,63.603226,68.00804,71.687744
Guinea-Bissau,6.3929543,5.045455,5.2001076,5.4381022,5.5007095,5.471504,5.498602,5.8035088,5.9299617,6.184314,7.7802587,8.524347,8.881204,8.628773,9.330841,9.430223,9.589005,10.179693,10.279073,10.789983,12.349302,12.579713,12.203697,10.857174,11.221065
Guinea-Bissau,1.131266,1.131266,1.2017624,1.3167536,1.3167536,1.3167536,1.2639755,1.3167536,1.3167536,1.3167541,0.996814,1.015138,1.0370629,1.2056919,1.2474937,1.2635623,1.2923663,1.3731303,1.3373134,1.3855277,1.4218439,1.4426891,1.4710882,1.5058649,1.5821962
Guyana,2.7264612,3.2135136,3.5687416,4.5529747,4.5510426,3.8641777,4.2108197,4.480312,5.793107,6.954288,6.9311028,6.774319,6.852336,7.060015,6.8927383,6.221415,5.567751,6.889332,6.550098,6.745561,7.264884,7.556521,8.567865,8.391866,8.370713
Haiti,4.1094227,4.158253,4.4952383,3.4019947,2.910589,4.5574236,5.295176,6.411761,6.299905,6.8204303,6.989819,7.604301,8.329151,7.705837,8.873864,9.256048,9.474688,10.21842,10.295057,9.786872,9.076634,9.542193,10.491044,11.038771,11.895988
Honduras,17.285564,17.263231,17.815287,17.766825,17.75552,19.19583,21.474396,22.050585,23.661303,25.352324,24.346216,26.576199,26.845087,29.437044,31.275608,32.102013,30.896307,38.258102,37.8983,35.912487,37.517864,37.99666,41.388077,41.480186,45.447643
Hungary,323.25543,301.9012,289.65198,278.8413,283.5847,286.80054,292.24866,285.1972,289.47705,289.33777,280.80228,287.6443,280.91214,284.3871,288.92676,308.07724,302.06055,298.0855,293.89648,272.6884,277.82706,269.46396,251.11597,238.0414,238.26877
Iceland,21.688086,21.18768,21.934168,22.785404,23.039999,23.782099,25.167961,26.403275,28.570063,31.300348,33.229614,33.59983,34.91136,35.086388,35.7808,35.90419,39.38225,45.020454,56.450768,56.355034,56.386024,56.377453,56.89812,58.71669,58.62973
